Question1;Question2;Question3;Question4;Question5;Question6;Question7;Question8;House
Stars;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Cold;Glory?;Hexes and jinxes;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;Dragon toad;Heads;Hufflepuff
Dusk;Brown owl;Hexes and jinxes;Cowardly;An eye at the keyhole of the dark, windowless room in which you are locked.;Trusted?;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Left;Slytherin
Moon;Dragon toad;Trusted?;Vampires;Home;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Ordinary;Right;Hufflepuff
Dawn;The golden liquid so bright that it hurts the eye, and which makes sunspots dance all around the room.;The power of superhuman strength;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Love?;Natterjack toad;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Black;Gryffindor
Dawn;Tawny owl;Attempt to confuse the troll into letting all three of you pass without fighting?;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Flying on a broomstick;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Cowardly;White;Hufflepuff
River;Werewolves;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Siamese cat;Selfish;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Fresh parchment;Black;Hufflepuff
Moon;The statue of an old wizard with a strangely twinkling eye;Vampires;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;Screech owl;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Selfish;White;Ravenclaw
Dusk;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Common toad;The Wise;Secrets about the castle;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Left;Hufflepuff
Stars;Wisdom?;The piano;Draw your wand and stand your ground?;Praised?;Tabby cat;The power to change your appearance at will;Black;Gryffindor
Dawn;Agree, and ask whether they'd like a free sample of a jinx?;Goblins;The Good;Common toad;The silver leafed tree bearing golden apples;Being ignored;Tails;Ravenclaw
River;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Secrets about the castle;Black cat;Think with admiration of your achievements;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Black;Ravenclaw
Moon;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Tabby cat;The sea;Wisdom?;The power of superhuman strength;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Left;Slytherin
Dawn;The bubbling pool, in the depths of which something luminous is swirling;Suggest drawing lots to decide which of you will fight?;Cold;Miss you, but smile;Merpeople;Dragon toad;Black;Hufflepuff
Stars;Werewolves;Wisdom?;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Envied?;Black cat;Draw your wand and try to discover the source of the noise?;Left;Gryffindor
Dusk;Three toed tree toad;Cowardly;Flying on a broomstick;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Envied?;Home;Left;Hufflepuff
Stars;Cold;The power to change your appearance at will;The narrow, dark, lantern-lit alley;The piano;Love?;Brown owl;Left;Ravenclaw
Forest;Ask for more stories about your adventures;Ask what makes them think so?;Boredom;Three toed tree toad;Ghosts;The statue of an old wizard with a strangely twinkling eye;Left;Gryffindor
River;The Wise;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Merpeople;Screech owl;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;The drum;Black;Ravenclaw
Moon;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Ghosts;Wisdom?;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';Ginger cat;Heads;Ravenclaw
Moon;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Tell Professor Flitwick that he ought to ask your classmate (and resolve to tell your classmate that if he doesn't tell the truth, you will).;Dragon toad;All about magical creatures, and how to befriend/care for them;The fat red toadstools that appear to be talking to each other;Ignorant;Tails;Gryffindor
Stars;Trolls;Agree, and ask whether they'd like a free sample of a jinx?;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Tabby cat;Tails;Slytherin
Dawn;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Black cat;Centaurs;Miss you, but smile;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Black;Slytherin
Moon;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Brown owl;Flying on a broomstick;Cowardly;Right;Hufflepuff
River;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;The Great;Snowy owl;Hexes and jinxes;Loneliness;Lie and say you don't know (but hope that somebody else tells Professor Flitwick the truth).;Right;Hufflepuff
Moon;Ghosts;Draw your wand and stand your ground?;Barn owl;Boredom;The piano;Ask for more stories about your adventures;Black;Gryffindor
Moon;Suggest drawing lots to decide which of you will fight?;Brown owl;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;Ask for more stories about your adventures;Trolls;The trumpet;Right;Hufflepuff
Dawn;Love?;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Brown owl;Tell them that you are worried about their mental health, and offer to call a doctor.;Being ignored;Centaurs;Right;Hufflepuff
Dusk;The statue of an old wizard with a strangely twinkling eye;Flying on a broomstick;Suggest drawing lots to decide which of you will fight?;Wisdom?;Tawny owl;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Left;Ravenclaw
Moon;Centaurs;The Good;Harlequin toad;Attempt to confuse the troll into letting all three of you pass without fighting?;Feared?;A crackling log fire;Tails;Gryffindor
